season,week,game_id,matchup,market,selection,line,price,model_prob,ev,stake_pct,result,profit,confidence
2016,10,2016_10_ATL_PHI,ATL @ PHI,SPREAD,ATL,2.0,1.9524,0.53148,3.77,1,lose,-1,0.95
2016,10,2016_10_MIA_SD,MIA @ SD,SPREAD,MIA,4.0,1.9091,0.549854,4.97,1,win,0.9091,0.6162
2016,11,2016_11_NO_CAR,NO @ CAR,SPREAD,NO,3.5,1.9434,0.525686,2.16,1,win,0.9434,0.95
2016,11,2016_11_BAL_DAL,BAL @ DAL,SPREAD,DAL,-7.0,1.9259,0.552189,6.35,1,win,0.9259,0.95
2016,11,2016_11_TEN_IND,TEN @ IND,TOTAL,under,53.5,1.9259,0.546905,5.33,1,win,0.9259,0.95
2016,11,2016_11_ARI_MIN,ARI @ MIN,TOTAL,under,39.5,1.9346,0.545885,5.61,1,lose,-1,0.95
2016,11,2016_11_MIA_LA,MIA @ LA,TOTAL,under,39.0,1.9259,0.54038,4.07,1,win,0.9259,0.95
2016,11,2016_11_GB_WAS,GB @ WAS,SPREAD,WAS,-2.5,1.9091,0.554974,5.95,1,win,0.9091,0.87
2016,12,2016_12_MIN_DET,MIN @ DET,TOTAL,under,42.0,1.9091,0.540953,3.27,1,win,0.9091,0.95
2016,12,2016_12_WAS_DAL,WAS @ DAL,SPREAD,WAS,5.5,1.9524,0.5434,6.09,1,win,0.9523999999999999,0.95
2016,12,2016_12_JAX_BUF,JAX @ BUF,SPREAD,JAX,8.5,1.885,0.556305,4.86,1,win,0.885,0.95
2016,12,2016_12_KC_DEN,KC @ DEN,SPREAD,DEN,-3.5,2.02,0.526215,6.3,1,lose,-1,0.87
2016,12,2016_12_KC_DEN,KC @ DEN,TOTAL,under,40.0,2.0,0.534962,6.99,1,lose,-1,0.87
2016,13,2016_13_KC_ATL,KC @ ATL,SPREAD,ATL,-5.0,1.9434,0.530246,3.05,1,lose,-1,0.95
2016,13,2016_13_HOU_GB,HOU @ GB,SPREAD,HOU,7.0,1.9434,0.542486,5.43,1,lose,-1,0.95
2016,13,2016_13_DET_NO,DET @ NO,SPREAD,DET,6.5,1.9804,0.527251,4.42,1,win,0.9803999999999999,0.95
2016,13,2016_13_NYG_PIT,NYG @ PIT,SPREAD,NYG,7.0,1.9524,0.53676,4.8,1,lose,-1,0.87
2016,13,2016_13_TB_SD,TB @ SD,SPREAD,TB,3.5,1.885,0.543385,2.43,1,win,0.885,0.6162
2016,14,2016_14_PIT_BUF,PIT @ BUF,TOTAL,under,45.5,1.9091,0.551393,5.27,1,lose,-1,0.95
2016,14,2016_14_CHI_DET,CHI @ DET,TOTAL,under,42.0,1.9259,0.543935,4.76,1,win,0.9259,0.95
2016,14,2016_14_DEN_TEN,DEN @ TEN,SPREAD,TEN,-2.0,1.9091,0.554974,5.95,1,win,0.9091,0.95
2016,14,2016_14_NO_TB,NO @ TB,SPREAD,NO,2.0,2.0,0.526946,5.39,1,lose,-1,0.95
2016,15,2016_15_PHI_BAL,PHI @ BAL,TOTAL,under,41.0,1.9524,0.545,6.41,1,lose,-1,0.95
2016,15,2016_15_CLE_BUF,CLE @ BUF,SPREAD,CLE,10.5,1.9346,0.535822,3.66,1,lose,-1,0.95
2016,15,2016_15_PIT_CIN,PIT @ CIN,SPREAD,CIN,3.0,1.9091,0.550014,5.0,1,lose,-1,0.95
2016,15,2016_15_IND_MIN,IND @ MIN,SPREAD,IND,5.0,1.9804,0.531051,5.17,1,win,0.9803999999999999,0.95
